,Income,Customer Lifetime Value,Monthly Premium Auto,Total Claim Amount
0,56274,2763.519279,69,384.811147
1,0,6979.535903,94,1131.464935
2,48767,12887.43165,108,566.472247
3,0,7645.861827,106,529.881344
4,43836,2813.692575,73,138.130879
5,62902,8256.2978,69,159.383042
6,55350,5380.898636,67,321.6
7,0,7216.100311,101,363.02968
8,14072,24127.50402,71,511.2
9,28812,7388.178085,93,425.527834
10,0,4738.992022,67,482.4
11,0,8197.197078,110,528.0
12,77026,8798.797003,110,472.029737
13,99845,8819.018934,110,528.0
14,83689,5384.431665,70,307.139132
15,24599,7463.139377,64,42.920271
16,25049,2566.867823,67,454.245098
17,28855,3945.241604,101,647.442031
18,51148,5710.333115,72,308.981664
19,66140,8162.617053,101,484.8
20,57749,2872.051273,74,355.2
21,13789,3041.791561,79,379.2
22,14072,24127.50402,71,511.2
23,0,2450.190996,73,554.376763
24,17870,2392.10789,61,439.2
25,97541,5802.065978,72,389.185006
26,0,3946.372085,111,799.2
27,10511,5346.916576,139,516.237951
28,86584,12902.56014,111,532.8
29,75690,3235.360468,80,384.0
30,23158,2454.58354,63,322.294043
31,65999,18975.45611,237,615.927769
32,0,4715.321344,65,308.15089
33,54500,5018.885233,63,302.4
34,37260,4932.916345,62,15.437681
35,68987,5744.229745,71,204.475147
36,42305,13891.73567,117,561.6
37,65706,7380.976717,91,436.8
38,0,3090.034104,90,648.0
39,53243,2521.633095,66,157.397849
40,0,2652.061785,70,484.318536
41,50071,2771.045031,71,18.918935
42,60021,3939.00637,99,882.871945
43,43244,12231.87968,103,494.4
44,92834,2443.665166,61,292.8
45,10105,12819.10289,172,0.517753
46,0,4468.510542,73,579.165954
47,23218,5514.344018,71,447.79344
48,0,3343.875326,92,529.624084
49,0,2294.478927,62,313.023175
50,24804,36707.42639,104,593.830288
51,33190,33473.34946,106,508.8
52,36014,7983.431709,69,173.956072
53,29834,4854.745666,64,307.2
54,16701,4293.997319,113,831.625979
55,46623,7164.395543,91,436.8
56,64749,7619.5158,64,302.56519
57,0,3958.002823,101,484.8
58,16969,4499.493252,124,704.768111
59,11621,4059.567414,108,518.4
60,17622,4458.113369,65,312.0
61,11489,8110.333139,105,504.0
62,0,3339.764873,94,863.327324
63,66525,24261.01777,100,104.331355
64,0,6613.973653,63,676.391482
65,33663,2930.693543,73,350.4
66,22547,8672.194272,112,537.6
67,61486,11638.66926,97,465.258644
68,0,6846.150323,95,456.0
69,29879,11727.77648,102,500.254235
70,93011,22643.83478,113,281.451042
71,65186,2614.474305,65,5.434505
72,26840,2451.752695,64,307.2
73,0,6781.270203,104,982.399613
74,75644,4974.801539,65,467.803638
75,38984,8591.604933,73,350.4
76,71811,5592.161392,71,29.03416
77,20961,8009.472833,67,321.6
78,38923,11318.08982,99,115.728852
79,61321,58166.55351,186,427.63121
80,0,8025.229358,77,25.807685
81,51066,5780.182197,74,787.993313
82,34378,4118.539113,102,489.6
83,43072,2523.07015,63,302.4
84,25222,6554.216396,90,475.623251
85,36765,7703.397294,66,320.849072
86,23091,5926.729379,96,460.8
87,48269,2683.470677,69,282.151207
88,32720,2695.182419,67,321.6
89,20396,6047.02516,76,364.8
90,21513,13171.01282,119,679.827592
91,72540,10656.88195,88,631.743039
92,80744,2527.653796,63,11.879037
93,52822,2672.095756,67,350.529033
94,0,5313.294035,77,863.3947
95,69738,20946.19251,74,492.127532
96,17780,8375.353929,109,132.588288
97,18107,4801.661503,62,297.6
98,57740,5745.94334,74,269.905129
99,32627,6066.115969,76,380.036697
100,0,8002.308333,107,513.6
101,0,2393.915369,70,425.266308
102,65795,4762.8179,62,49.011099
